               Token      Frequency      Code
           dangerous              4       939
                 bow              4       940
               truly              4       941
             savages              4       942
              monkey              4       943
              colour              4       944
               sober              4       945
           curiosity              4       946
            enormous              4       947
              opened              4       948
                 She              4       949
               human              4       950
              beyond              4       951
              weight              4       952
        confidential              4       953
                lead              4       954
               plain              4       955
                mass              4       956
            whenever              4       957
